stop_code	stop_id	stop_name
47328	490000158A	North Ealing, North Ealing (Stop EQ)
49460	490000159A	Northfields, Northfields (Stop B)
50730	490000159B	Northfields, Northfields (Stop G)
54958	490000089A	Goodge Street, Goodge Street (Stop A)
51353	490000091G	Great Portland Street, Great Portland Street (Stop G)
55630	490000091H	Great Portland Street, Great Portland Street (Stop H)
59487	490000092W1	Greenford, Greenford (Stop Z1)
76875	490000092W2	Greenford, Rockware Avenue Greenford Stn (Stop JJ)
51128	490000142G	Manor House, Manor House (Stop AP)
71591	490000142H	Manor House, Manor House (Stop H)
76715	490000165B	Northwood, Northwood (Stop B)
73434	490000111B	North Hillingdon, Hillingdon Station (Stop B)
55101	490000111N	North Hillingdon, Hillingdon Station (Stop A)
76510	490000139A	London Bridge, London Bridge Bus Station (Stop D)
91260	490000139B	London Bridge, London Bridge Bus Station (Stop B)
73506	490000085G	Gants Hill, Gants Hill (Stop EB)
52362	490000138D	Liverpool Street, Liverpool Street Station (Stop D)
71142	490000169L	Old Street, Old Street (Stop L)
53539	490000171A	Osterley, Osterley (Stop S)
77117	490000171B	Osterley, Osterley (Stop P)
72810	490000138C	Liverpool Street, Liverpool Street Station (Stop C)
71638	490000095A	Hainault, Hainault (Stop U)
91261	490000139C	London Bridge, London Bridge Bus Station (Stop C)
54174	490000129D	King's Cross, King's Cross St. Pancras (Stop D)
91362	4900001127H	Hackney, Hackney Central Station (Stop H)
54321	490000112M	Holborn, Kingsway  Holborn Station (Stop M)
72745	490000143W	Mansion House, Mansion House (Stop MS)
58150	490000144A	Marble Arch, Marble Arch  Bayswater Road (Stop A)
47615	490000144C	Marble Arch, Marble Arch  Bayswater Road (Stop C)
52232	490000144E	Marble Arch, Marble Arch  Edgware Road (Stop E)
52334	490000144H	Marble Arch, Marble Arch  Edgware Road (Stop H)
73952	490000144K	Marble Arch, Marble Arch (Stop K)
52057	490000144L	Marble Arch, Marble Arch (Stop L)
53497	490000151C	Morden, Morden (Stop C)
51916	490000151H	Morden, London Road  Morden Station (Stop H)
54638	490000151K	Morden, Morden (Stop M)
77281	490000166B	Northwood Hills, Northwood Hills (Stop B)
73511	490000167A	Notting Hill, Ladbroke Road (Stop A)
75176	490000161A	North Harrow, North Harrow (Stop NK)
50847	490000137T	Leytonstone, Leytonstone Station (Stop T)
54373	490000147B	Mill Hill East, Mill Hill East (Stop B)
48865	490000148G	City of London, King William St  Monument Stn (Stop G)
54579	490000148K	Monument, Monument (Stop H)
52433	490000148M	City of London, Fenchurch Street (Stop M)
71707	490000135B	Leicester Square, Leicester Square (Stop J)
48922	490000167F	Notting Hill, Notting Hill Gate (Stop F)
50533	490000091E	Great Portland Street, Great Portland Street (Stop E)
71159	490000085H	Gants Hill, Clarence Avenue Gants Hill (Stop EV)
74828	490000151B	Morden, Morden (Stop B)
77972	490000095B	Hainault, Hainault (Stop T)
57309	490000097T	Hammersmith, Hammersmith (Ham & City Line) (Stop W)
48046	490000098A	Hampstead, Hampstead Station  Hampstead High St (Stop R)
71107	490000098B	Hampstead, Hampstead Station (Stop B)
58796	490000098S	Hampstead, Hampstead Station (Stop Q)
48852	490000099A	Hanger Lane, Hanger Lane Station (Stop A)
56946	490000172D	Oval, Oval (Stop D)
50909	490000153AA	Neasden, Neasden (Stop AA)
54483	490000153BB	Neasden, Neasden (Stop BB)
54710	490000154A	Newbury Park, Newbury Park (Stand NA)
73106	490000138E	Liverpool Street, Liverpool Street Station (Stop E)
71026	490000107P	Barnet, High Barnet (Stop P)
76890	490000107Q	Barnet, High Barnet (Stop Q)
58249	490000107R	Barnet, High Barnet (Stop R)
47936	490000108A	Highbury, Highbury & Islington Station (Stop A)
77150	490000108B	Highbury, Highbury & Islington Station (Stop B)
48461	490000108F	Canonbury, Highbury Corner (Stop F)
77515	490000118B	Hounslow West, Hounslow West (Stop B)
53044	490000086B	Gloucester Road, Gloucester Road (Stop GS)
91544	490000087B	Golders Green, Golders Green (Stop B)
59460	490000167G	Notting Hill, Notting Hill Gate (Stop G)
76605	490000167H	Notting Hill, Notting Hill Gate (Stop H)
52053	490000093PB	Green Park, Green Park (Stop J)
58785	490000093PE	Green Park, Green Park (Stop H)
77119	490000087GB	Golders Green, Golders Green (Stop GB)
59622	490000087GF	Golders Green, Golders Green (Stand GF)
49713	490000087GH	Golders Green, Golders Green (Stop GH)
55209	490000087GI	Golders Green, Golders Green (Stop GI)
58445	490000087GJ	Golders Green, Golders Green (Stop GJ)
48160	490000154B	Newbury Park, Newbury Park (Stop NB)
53490	490000155V	New Cross, New Cross Station (Stop V)
